Date,returns,Y_return,vol-20,vol_20,T_vol_shock,lag_return
2018-01-31,-0.00198848158521139,-0.00198848158521139,0.00447052665996003,0.00447052665996003,0,-0.0072813500350773
2018-02-01,-0.000979814128127614,-0.000979814128127614,0.00451014870002821,0.00451014870002821,0,-0.00198848158521139
2018-02-02,-0.0235392139330769,-0.0235392139330769,0.00732714499298568,0.00732714499298568,0,-0.000979814128127614
2018-02-05,-0.00877862069830589,-0.00877862069830589,0.00759006465991967,0.00759006465991967,0,-0.0235392139330769
2018-02-06,-0.015904081654676,-0.015904081654676,0.00829788175719264,0.00829788175719264,0,-0.00877862069830589
2018-02-07,-0.00205481415395442,-0.00205481415395442,0.008292007661446,0.008292007661446,0,-0.015904081654676
2018-02-08,0.00951385114581387,0.00951385114581387,0.00860497623861488,0.00860497623861488,0,-0.00205481415395442
2018-02-09,-0.0115920444485001,-0.0115920444485001,0.00895051947567987,0.00895051947567987,0,0.00951385114581387
2018-02-12,0.00807825451708893,0.00807825451708893,0.00914170663040905,0.00914170663040905,0,-0.0115920444485001
2018-02-14,-0.00369281869170276,-0.00369281869170276,0.00904088113036798,0.00904088113036798,0,0.00807825451708893
2018-02-15,0.00423822366840798,0.00423822366840798,0.00909398612152677,0.00909398612152677,0,-0.00369281869170276
2018-02-16,-0.00887719744251492,-0.00887719744251492,0.00901283623475687,0.00901283623475687,0,0.00423822366840798
2018-02-19,-0.00709527028808444,-0.00709527028808444,0.00903578475823753,0.00903578475823753,0,-0.00887719744251492
2018-02-20,-0.00173587708467473,-0.00173587708467473,0.00877280580482303,0.00877280580482303,0,-0.00709527028808444
2018-02-21,0.00356971873148204,0.00356971873148204,0.00863544958490386,0.00863544958490386,0,-0.00173587708467473
2018-02-22,-0.00141962422792038,-0.00141962422792038,0.00805789161645857,0.00805789161645857,0,0.00356971873148204
2018-02-23,0.0103815157790081,0.0103815157790081,0.00859219872281514,0.00859219872281514,0,-0.00141962422792038
2018-02-26,0.00868861190841768,0.00868861190841768,0.00896457214970695,0.00896457214970695,0,0.0103815157790081
2018-02-27,-0.00267776470363507,-0.00267776470363507,0.00877834555094036,0.00877834555094036,0,0.00868861190841768
2018-02-28,-0.00583930571419501,-0.00583930571419501,0.0087442225246385,0.0087442225246385,0,-0.00267776470363507
2018-03-01,-0.00329337054388772,-0.00329337054388772,0.00874440368789861,0.00874440368789861,0,-0.00583930571419501
2018-03-05,-0.00955947595788153,-0.00955947595788153,0.0088677115546525,0.0088677115546525,0,-0.00329337054388772
2018-03-06,-0.0106366569240449,-0.0106366569240449,0.00769236082271936,0.00769236082271936,0,-0.00955947595788153
2018-03-07,-0.00931709993846152,-0.00931709993846152,0.00771663915517978,0.00771663915517978,0,-0.0106366569240449
2018-03-08,0.00867298109371104,0.00867298109371104,0.0074142260523782,0.0074142260523782,0,-0.00931709993846152
2018-03-09,-0.00154383686834955,-0.00154383686834955,0.00741212304445097,0.00741212304445097,0,0.00867298109371104
2018-03-12,0.0188448453263507,0.0188448453263507,0.00835601153228434,0.00835601153228434,0,-0.00154383686834955
